Country,Alliance
Argentina,G20
Australia,G20
Brazil,G20
Canada,G20
China,G20
France,G20
Germany,G20
India,G20
Indonesia,G20
Italy,G20
Japan,G20
Mexico,G20
Russia,G20
"Saudi Arabia",G20
"South Africa",G20
"South Korea",G20
Turkey,G20
"United Kingdom",G20
"United States",G20
"Antigua and Barbuda",G33
Barbados,G33
Belize,G33
Benin,G33
Botswana,G33
China,G33
Cuba,G33
"Democratic Republic Of Congo",G33
"Dominican Republic",G33
Grenada,G33
Guatemala,G33
Guyana,G33
Haiti,G33
Honduras,G33
India,G33
Indonesia,G33
"Cote D'Ivoire",G33
Jamaica,G33
Kenya,G33
Laos,G33
Madagascar,G33
Mauritius,G33
Mongolia,G33
Mozambique,G33
Nicaragua,G33
Nigeria,G33
Pakistan,G33
Panama,G33
Peru,G33
Philippines,G33
"Saint Kitts and Nevis",G33
"Saint Lucia",G33
"Saint Vincent and the Grenadines",G33
Senegal,G33
"South Korea",G33
"Sri Lanka",G33
"Suriname",G33
Tanzania,G33
"Trinidad and Tobago",G33
Turkey,G33
Uganda,G33
Venezuela,G33
Zambia,G33
Zimbabwe,G33
